COD. OAE;DESCRITIVO;TIPO DE OAE;DISTRITO;RODOVIA;COD. TRECHO;DESCRITIVO;km;LATITUTE;LONGITUDE
83;Viaduto 1 na DF-004 acesso eixo Monumental;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0090;ACESSO À VILA PLANALTO - ENTR. EIXO MONUMENTAL;9749;-15.802.598.995.250;-47.850.586.773.500
84;Viaduto 2 na DF-004 acesso eixo Monumental;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0090;ACESSO À VILA PLANALTO - ENTR. EIXO MONUMENTAL;9787;-15.802.704.447.250;-47.851.056.882.000
85;Viaduto 1 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0090;ACESSO À VILA PLANALTO - ENTR. EIXO MONUMENTAL;8447;-15.793.044.825.250;-47.857.699.492.750
86;Viaduto 2 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0090;ACESSO À VILA PLANALTO - ENTR. EIXO MONUMENTAL;8991;-15.796.610.741.500;-47.854.160.009.250
87;Viaduto 1 na DF-004 sobre a DF-002;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF051 ;051EDF0010;ENTR. DF-047 (EPAR) - ENTR. DF-003 (EPIA);30;-15.844.961.038.502;-47.931.612.099.200
88;Viaduto 2 na DF-004 sobre a DF-002;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF051 ;051EDF0010;ENTR. DF-047 (EPAR) - ENTR. DF-003 (EPIA);30;-15.845.084.485.252;-47.931.740.924.200
89;Passarela sobre a DF-003 Metrô;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0152;ENTR. DF-081 (EPIB) - ENTR. DF-051 (EPGU);19987;-15.833.700.704.768;-47.952.486.797.767
90;Metrô - Estação ParkShopping;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0152;ENTR. DF-081 (EPIB) - ENTR. DF-051 (EPGU);19910;-15.833.334.356.089;-47.952.360.158.967
91;Ponte na DF-002;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF047 ;047EDF0030;ENTR. DF-025 (EPDB) - ENTR. DF-051(EPGU)/DF-004 (EPNA);2822;-15.850.412.644.291;-47.932.285.469.238
92;Viaduto 1 na DF-003 acesso Aeroporto JK;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0190;ENTR. DF-075 (EPNB) - ENTR. DF-025 (EPDB);24385;-15.874.277.897.815;-47.958.923.759.551
93;Viaduto 2 na DF-003 acesso Aeroporto JK;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0190;ENTR. DF-075 (EPNB) - ENTR. DF-025 (EPDB);24385;-15.874.228.463.315;-47.958.819.030.551
94;Ponte 1 sobre Riacho Fundo;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0190;ENTR. DF-075 (EPNB) - ENTR. DF-025 (EPDB);23354;-15.865.597.784.327;-47.957.443.478.494
95;Ponte 2 sobre Riacho Fundo;PONTE;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0190;ENTR. DF-075 (EPNB) - ENTR. DF-025 (EPDB);23354;-15.865.651.393.577;-47.957.536.818.744
96;Viaduto 1 sobre a DF-003 acesso N.Bandeirante;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF075 ;075EDF0010;ENTR. DF-003 (EPIA) - ACESSO AO NÚCLEO BANDEIRANTE;31;-15.861.980.600.000;-47.956.724.165.750
97;Viaduto 2 sobre a DF-003 acesso N.Bandeirante;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF075 ;075EDF0010;ENTR. DF-003 (EPIA) - ACESSO AO NÚCLEO BANDEIRANTE;39;-15.862.126.244.000;-47.956.749.491.500
98;Passarela na DF-003;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0170;ENTR. DF-051 (EPGU) - ENTR. DF-075 (EPNB);21100;-15.853.429.906.140;-47.955.684.755.325
